"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Yoo W.-K.; Lee J.-H.; Yoo B.-S.; Kim S.-R.","Yoo, Wan-Kyu (56524042800); Lee, Ju-Hyung (56706899200); Yoo, Byeong-Soo (57203899476); Kim, Sung-Ryul (35069797400)","56524042800; 56706899200; 57203899476; 35069797400","Numerical study of effectiveness of horizontal grouting in liquefaction mitigation for existing building foundation","2020","Lecture Notes in Civil Engineering","62","","","641","647","6","0","10.1007/978-981-15-2184-3_83","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076752552&doi=10.1007%2f978-981-15-2184-3_83&partnerID=40&md5=67c87ab4e32a2f9e8a2985f5cf37bccf","Book chapter","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85076752552"
"Fechner F.; Keßler M.; Krämer E.; Raffel M.","Fechner, Felix (58169201100); Keßler, Manuel (7402023028); Krämer, Ewald (14054131600); Raffel, Markus (56822260700)","58169201100; 7402023028; 14054131600; 56822260700","PREVENTION OF RETREATING BLADE STALL BY ASYMMETRICALLY GENERATED LIFT: FREE-FLIGHT INVESTIGATIONS WITH A FULLY AUTONOMOUS HELICOPTER TESTBED","2022","48rd European Rotorcraft Forum, ERF 2022","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151537788&partnerID=40&md5=5b9ef72143ca12a0385e8766a6937251","Conference paper","Final","","Scopus","2-s2.0-85151537788"
"Filippone A.; Barakos G.","Filippone, Antonio (8665392600); Barakos, George (55611358100)","8665392600; 55611358100","Rotorcraft Preliminary Design","2023","Springer Aerospace Technology","","","","203","235","32","0","10.1007/978-3-031-12437-2_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152235774&doi=10.1007%2f978-3-031-12437-2_8&partnerID=40&md5=c3812a55cab699606ba5ee599c18597f","Book chapter","Final","","Scopus","2-s2.0-85152235774"
"Zhao Y.; Zhang Z.; Wang J.; Wang H.","Zhao, Yuhan (57222057242); Zhang, Zhanshuo (57222079593); Wang, Jiawei (57967624400); Wang, Hongbo (57201748900)","57222057242; 57222079593; 57967624400; 57201748900","Fin-Rudder Joint Control Based on Improved Linear-Quadratic-Regulator Algorithm","2022","IEEE Access","10","","","111105","111114","9","1","10.1109/ACCESS.2022.3214831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140774970&doi=10.1109%2fACCESS.2022.3214831&partnerID=40&md5=49814c2395b9b2560014152abd9da651","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140774970"
"Baheri A.; Vermillion C.","Baheri, Ali (56566657100); Vermillion, Chris (23570142400)","56566657100; 23570142400","Combined Plant and Controller Design Using Batch Bayesian Optimization: A Case Study in Airborne Wind Energy Systems","2019","Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME","141","9","091013","","","","9","10.1115/1.4043224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065255060&doi=10.1115%2f1.4043224&partnerID=40&md5=60674bcb90ee52475b013b66777b48f5","Article","Final","","Scopus","2-s2.0-85065255060"
"Gutierrez F.A.M.; Karim I.K.A.; Vargas M.R.O.; Alzaabi M.A.; Al Ali S.A.; Toki T.; Ramanujan J.; Wagstaff S.; Tanaka H.; Iftikhar B.; Premoli J.E.T.; Abdelhalim K.; Moreno D.J.; Yadav A.; Chohan I.M.","Gutierrez, Freddy Alfonso Mendez (57214914081); Karim, Islam Khaled Abdel (57202376750); Vargas, Mario Ramon Oviedo (57215044906); Alzaabi, Mohamed Abdulrahman (57189614665); Al Ali, Salim Abdalla (57214836612); Toki, Takahiro (57201294565); Ramanujan, Jeughale (57220750720); Wagstaff, Scott (57520118100); Tanaka, Hisaya (57325006800); Iftikhar, Bilal (57204352043); Premoli, Javier Ernesto Torres (57214912133); Abdelhalim, Khaled (57225266813); Moreno, Daniel Juarez (57324067700); Yadav, Anurag (57639338000); Chohan, Imran Muhammad (57322369900)","57214914081; 57202376750; 57215044906; 57189614665; 57214836612; 57201294565; 57220750720; 57520118100; 57325006800; 57204352043; 57214912133; 57225266813; 57324067700; 57639338000; 57322369900","Different reservoir pressures in multi reservoir hole section conquered by advanced planning techniques","2021","Proceedings of the SPE/IADC Middle East Drilling Technology Conference and Exhibition","2021-May","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118560160&partnerID=40&md5=aab9f5d35c2561d81dea6d330f2494e8","Conference paper","Final","","Scopus","2-s2.0-85118560160"
"Yoo W.-K.; Lee J.-H.; Yoo B.-S.; Kim S.-R.","Yoo, Wan-Kyu (56524042800); Lee, Ju-Hyung (56706899200); Yoo, Byeong-Soo (57203899476); Kim, Sung-Ryul (35069797400)","56524042800; 56706899200; 57203899476; 35069797400","Numerical study of effectiveness of horizontal grouting in liquefaction mitigation for existing building foundation","2019","Lecture Notes in Civil Engineering","62","","","641","647","6","0","10.1007/978-981-15-2184-3_84","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076963640&doi=10.1007%2f978-981-15-2184-3_84&partnerID=40&md5=c4cefdd488b524dcde14e6321a351c4e","Book chapter","Final","","Scopus","2-s2.0-85076963640"
"Tuecking L.R.; Erdle B.; Bernstein A.; Ogon P.; Jaeger M.; Südkamp N.P.; Izadpanah K.; Maier D.","Tuecking, L.R. (57215585325); Erdle, B. (56191828400); Bernstein, A. (55508367200); Ogon, P. (25230217300); Jaeger, M. (24169052500); Südkamp, N.P. (7005452274); Izadpanah, K. (28567756600); Maier, D. (22994029700)","57215585325; 56191828400; 55508367200; 25230217300; 24169052500; 7005452274; 28567756600; 22994029700","Ligamentous healing potential of the acromioclavicular ligament following acute anatomical reconstruction","2022","Archives of Orthopaedic and Trauma Surgery","142","9","","2225","2234","9","9","10.1007/s00402-021-03936-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106041726&doi=10.1007%2fs00402-021-03936-7&partnerID=40&md5=4efa26a050f60c27afedb9f4d96090ef","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85106041726"
"Lozitsky V.G.; Stodilka M.I.","Lozitsky, V.G. (12240490300); Stodilka, M.I. (8554036200)","12240490300; 8554036200","Physical conditions in M6.4/3n solar flare of 19 july 2000","2019","Journal of Physical Studies","23","4","4902","","","","2","10.30970/jps.23.4902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078585044&doi=10.30970%2fjps.23.4902&partnerID=40&md5=8bebe6c07bf4e07fc0eceb14fa5dc546","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85078585044"
"Haupt S.; Cornaz F.; Falkowski A.L.; Farshad M.; Widmer J.","Haupt, Samuel (55650899900); Cornaz, Frédéric (57212614213); Falkowski, Anna L. (55568738000); Farshad, Mazda (36489356000); Widmer, Jonas (57197783519)","55650899900; 57212614213; 55568738000; 36489356000; 57197783519","The biomechanical consequence of posterior interventions at the thoracolumbar spine on the passively stabilized flexed posture","2023","Journal of Biomechanics","153","","111599","","","","0","10.1016/j.jbiomech.2023.111599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153965849&doi=10.1016%2fj.jbiomech.2023.111599&partnerID=40&md5=b6b089a80738da67c1c909d912080915","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85153965849"
