"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Modeling, Simulation and Design of Adaptive 6DOF Vehicle Stabilizer","M. Alkhedher; U. Ali; O. Mohamad","College of Engineering, Abu Dhabi University, Abu Dhabi, United Arab Emirates; College of Engineering, Abu Dhabi University, Abu Dhabi, United Arab Emirates; College of Engineering, Abu Dhabi University, Abu Dhabi, United Arab Emirates","2019 8th International Conference on Modeling Simulation and Applied Optimization (ICMSAO)","24 Oct 2019","2019","","","1","4","Six Degree of Freedom (6 DOF) parallel manipulators have been utilized for many applications. In this paper, a 6 DOF manipulator is used as a robust vehicle stabilizer in order to fix the orientation of the upper platform. The paper starts with kinematic analysis of a Stewart platform. This analysis is formulated to cope with the design of vehicle stabilizer. The design and selection of mechanical components including primary joints based on comprehensive dynamic simulation. After validating simulation results of proposed design, they were implemented in to build a physical model. To improve system accuracy and performance, and to eliminate associated vibrations, a linear regression model of ground rise is embedded in the system to estimate and predict upcoming elevations. This has lowered the percentage error of platform orientation, made the system more stable.","2573-5276","978-1-5386-7684-4","10.1109/ICMSAO.2019.8880417","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8880417","Stewart Platform;Adaptive;Kinematics;Simulation;Stabilizer;linear regression;Vibration","Mathematical model;Manipulators;Linear regression;Adaptation models;Kinematics;Vibrations;Prototypes","manipulator dynamics;manipulator kinematics;mechanical stability;regression analysis;vehicle dynamics;vibrations","adaptive 6DOF vehicle stabilizer;6 DOF parallel manipulator;robust vehicle stabilizer;kinematic analysis;Stewart platform;comprehensive dynamic simulation;physical model;linear regression model;platform orientation;embedded system;Six Degree of Freedom parallel manipulators","","3","","10","IEEE","24 Oct 2019","","","IEEE","IEEE Conferences"
"The Fuzzy Quantized Control of Fin Stabilizers under the Ship IPMS Networks","Y. Yang; X. Li; L. H. Ke","College of Electric and Information Engineering, Naval University of Engineering, Wuhan, Hubei, China; College of Electric and Information Engineering, Naval University of Engineering, Wuhan, Hubei, China; College of Electric and Information Engineering, Naval University of Engineering, Wuhan, Hubei, China","2010 Second International Conference on Intelligent Human-Machine Systems and Cybernetics","30 Sep 2010","2010","2","","3","6","To the information-based development of ship, a regional-based network architecture of ship integrated platform management system (IPMS) is proposed. The Networked and quantized control systems (NQCS) of fin stabilizers under IPMS is investigated. When transmission rate restriction of network is considered, a novel fuzzy quantized encode method is proposed. And the control strategy under these encode is investigated. The simulation results show its effectiveness.","","978-1-4244-7869-9","10.1109/IHMSC.2010.98","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5591060","fuzzy quantizer;networked and quantized control systems;the integrated platform management system;fin stabilizers","Marine vehicles;Sensors;Encoding;Angular velocity;Actuators;Quantization","controllers;distributed parameter systems;fuzzy control;ships","fuzzy quantized control;fin stabilizers;ship IPMS networks;ship integrated platform management system;networked and quantized control systems;regional-based network architecture;transmission rate restriction;fuzzy quantized encode method","","","","11","IEEE","30 Sep 2010","","","IEEE","IEEE Conferences"
"Analysis of Sampling Frequency of Discrete mode Stabilizer in Modern Power System","A. Kumar; M. Bhadu; H. C. Kumawat; S. K. Bishnoi; K. Swami","Department of Electrical Engineering, Government Engineering College, Bikaner, Rajasthan, India; Department of Electrical Engineering, Government Engineering College, Bikaner, Rajasthan, India; Department of Electrical Engineering, Government Engineering College, Bikaner, Rajasthan, India; Department of Electrical Engineering, Government Engineering College, Bikaner, Rajasthan, India; Department of Electrical Engineering, Government Engineering College, Bikaner, Rajasthan, India","2019 International Conference on Computing, Power and Communication Technologies (GUCON)","27 Dec 2019","2019","","","14","20","In this paper, the various aspects of discrete mode stabilizers in grid connected test power system are analyzed. The active power contribution of test power system into the grid and the overall system voltage has been studied. To study the impact of sampling frequency of discrete mode stabilizer into the grid's overall stability, a three phase line-to- ground fault have been created. The controlling of test power system is done by utilizing the conventional power system stabilizers (PSS) and multi-band power system stabilizers (MB-PSS), in continuous as well as discrete mode of operation. The conventional PSS was designed using the well-established techniques like residue method. Further, discrete mode power system stabilizers have been analyzed with different sampling frequencies. The complete test power system model was designed over the MATLAB/Simulink platform. The discrete mode stabilizers are also improving damping in rotor angle deviation as well as improves overall system stability, almost in similar fashion as that of continuous one. The overall response is measured in terms of rotor angle deviation of various generators as well as the tie line power flow in two area four machine test power system, with respect to time.","","978-93-5351-098-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8940516","Discrete mode power system stabilizer;Rotor angle stability;Multi-band stabilizer;Small signal stability;Automatic voltage regulator;P-Vr Tuning Method;GEP method","Rotors;Power system stability;Mathematical model;Tuning;Stability analysis;Oscillators;Transfer functions","load flow;Matlab;power grids;power system control;power system faults;power system stability;rotors","rotor angle;MATLAB-Simulink;MB-PSS;multiband power system stabilizers;three phase line-to-ground fault;system voltage;active power contribution;grid connected test power system;sampling frequency;tie line power flow;discrete mode power system stabilizers","","","","30","","27 Dec 2019","","","IEEE","IEEE Conferences"
"Optimal design on ship synthetic stabilizer system based on fin stabilizer and anti-rolling tank","Weiping Zhao; Chen Guo; Hongzhang Jin; Dongzhou Yu","General Aviation Key Laboratory, Shenyang AeroSpace University, Shenyang, China; Automation and electrical engineering, Dalian Maritime University, Dalian, China; Automation College, Harbin Engineering of Technology, Harbin, China; Electronics and Information Engineering, Shenyang AeroSpace University, Shenyang, China","Proceedings 2011 International Conference on Transportation, Mechanical, and Electrical Engineering (TMEE)","14 May 2012","2011","","","1437","1440","For some ships in special use or the warships as sea platforms, the out range rolling will produce bad effects on the operation of the ships or the equipments on the warships. The current researches show that the synthetic stabilization scheme combined several stabilization sets is the main trends in the future. Considering the relationship between fin stabilizer and passive ling tank and the stabilization effectiveness in all kinds of sea condition, a configuration scheme of fin stabilizer and passive anti-rolling tank is proposed. An index of function-effectiveness is defined according to the economic factors. The simulation shows that the scheme employing low-capacity fin stabilizer to match anti-rolling tank is more rational.","","978-1-4577-1701-7","10.1109/TMEE.2011.6199477","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6199477","fin stabilizer;anti-rolling tank;design scheme;simulation","Marine vehicles;Indexes;Stability analysis;Mathematical model;Storage tanks;Torque;Simulation","design engineering;mechanical stability;ships","optimal design;ship synthetic stabilizer system;fin stabilizer;anti-rolling tank;warships;stabilization","","1","","6","IEEE","14 May 2012","","","IEEE","IEEE Conferences"
"A Novel Real-Time Visual Hardware-in-the-Loop Simulation Platform (RTV-HILSP) for Designing Fin Stabilizer Control System","L. Liang; J. Li; S. Zhang; Z. Le","College of Automation, Harbin Engineering University, Harbin, China; College of Automation, Harbin Engineering University, Harbin, China; College of Automation, Harbin Engineering University, Harbin, China; College of Automation, Harbin Engineering University, Harbin, China","IEEE Access","22 Jul 2019","2019","7","","92908","92920","The violent ship roll directly affects the safety of sea navigation and the ability to perform tasks, which makes ship anti-rolling become a research focus. Fin stabilizer is the most widely used and effective active anti-rolling device for ships. However, in the available literature, there is no real-time hardware-in-the-loop (HIL) platform to help researchers and engineers design fin stabilizer control systems. Accurate ship motion control platform is of great importance. It solves problems that are difficult to solve with digital simulation by providing motion attitude monitoring and more realistic simulation environment. In order to solve the problem, this paper develops a real-time visual hardware-in-the-loop simulation platform (RTV-HILSP) for ship roll control system design, which makes it easier to find the defects in the actual system. In this paper, the design scheme and the working principle of the platform are introduced in detail, and the roll mathematical model of a research ship is established. In order to test the performance of the new platform, a series of simulations is carried out. The results show that the RTV-HILSP meets the requirements of industry standards and can be used in the design and verification phase of the controller, which has proved to be a good research platform.","2169-3536","","10.1109/ACCESS.2019.2927591","Fundamental Research Funds for the Central Universities(grant numbers:HEUCFM170404); Harbin Science and Technology Innovation Talent Research Special Fund Project(grant numbers:2017RC2017XK009006); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8758105","Fin stabilizer;roll stabilization;hardware-in-the-loop (HIL);real-time simulation","Marine vehicles;Control systems;Software;Real-time systems;Hardware;Reliability;Mathematical model","control system CAD;hardware-in-the loop simulation;marine control;motion control;real-time systems;ships;stability","real-time hardware-in-the-loop platform;digital simulation;real-time visual hardware-in-the-loop simulation platform;RTV-HILSP;ship roll control system design;roll mathematical model;fin stabilizer control system;violent ship roll;ship antirolling;simulation environment;antirolling device;ship motion control platform;motion attitude monitoring","","5","","20","CCBY","9 Jul 2019","","","IEEE","IEEE Journals"
"Situational Awareness of Power System Stabilizers’ Performance in Energy Control Centers","P. Arunagirinathan; G. K. Venayagamoorthy","Real-Time Power and Intelligent Systems Laboratory, Clemson University, Clemson, SC, USA; Real-Time Power and Intelligent Systems Laboratory, Clemson University, Clemson, SC, USA","2020 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)","26 Aug 2020","2020","","","1","8","Undamped power system oscillations are detrimental to stable and security of the electric grid. Historically, poorly damped low frequency rotor oscillations have caused system blackouts or brownouts. It is required to monitor the oscillation damping controllers such as power system stabilizers' (PSS) performance at energy control centers as well as at power plant control centers. Phasor measurement units (PMUs) based time response and frequency response information on PSS performance is collected. A fuzzy logic system is developed to combine the time and frequency response information to derive the situational awareness on PSS performance on synchronous generator's oscillation(s). A two-area four-machine benchmark power system is simulated on a real-time digital simulator platform. Fuzzy logic system developed is evaluated for different system disturbances. Situational awareness on PSS performance on synchronous generator's oscillation(s) allows the control center operator to enhance the power system operation more stable and secure.","1558-4739","978-1-7281-6932-3","10.1109/FUZZ48607.2020.9177608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9177608","Fuzzy logic system;phasor measurement unit;power system stabilizer;situational awareness;synchronous generators","Damping;Oscillators;Fuzzy logic;Power system stability;Phasor measurement units;Indexes","damping;frequency response;fuzzy logic;machine control;oscillations;phasor measurement;power system control;power system security;power system simulation;power system stability;rotors;synchronous generators","PSS performance;synchronous generator;real-time digital simulator platform;fuzzy logic system;power system stabilizers;energy control centers;oscillation damping controllers;power plant control centers;phasor measurement units;time response;low frequency rotor oscillations;frequency response;power system security","","","","18","IEEE","26 Aug 2020","","","IEEE","IEEE Conferences"
"Study on the Adaptability of Power System Stabilizer Parameters under Deep Peak Regulation Condition","G. Zhang; H. Liang; H. Xie; C. Qin; Y. Shi; Y. Zhao; W. Jiang; Y. Yan; Y. Yuan","State Grid Jibei Electric Power Research Institute, Beijing, China; State Grid Jibei Electric Power Research Institute, Beijing, China; State Grid Jibei Electric Power Research Institute, Beijing, China; State Grid Jibei Electric Power Research Institute, Beijing, China; State Grid Jibei Electric Power Research Institute, Beijing, China; State Grid Jibei Electric Power Research Institute, Beijing, China; State Grid Fujian Electric Power Research Institute, Fuzhou, China; State Grid Jibei Electric Power Research Institute, Beijing, China; Xi'an Branch of North China Electric Power Research Institute, Xi’an, China","2021 International Conference on Power System Technology (POWERCON)","8 Feb 2022","2021","","","14","20","With the rapid development of Chinese new energy industry and the relative excess capacity of the traditional thermal power industry, more and more thermal power units participate in the operation of “deep peak regulation”. Whether the power system stabilizer (PSS) parameters set under the condition of large load can still effectively suppress low-frequency oscillation under the condition of “deep peak regulation” is the key to ensure the safe operation of power system in “deep peak regulation”. Firstly, the basic principles of low-frequency oscillation and the action of PSS are described based on the Philips-Heffron model, and the influence of active load variation on the uncompensated characteristics of the generator excitation system was theoretically analyzed. Then based on the establishment of RTDS generator model platform, the uncompensated characteristics of the generator excitation system under different active loads was calculated. Under the condition of using the same PSS parameters, the effects of single-machine and dual-machine model systems PSS on suppressing low-frequency oscillations were simulated and studied respectively. Finally, the simulation research results are verified by on-site real machine test.","2642-6226","978-1-6654-0737-3","10.1109/POWERCON53785.2021.9697623","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9697623","component;deep peak regulation;power grid and power source coordination;power system stabilizer;low frequency oscillation;RTDS","Adaptation models;Analytical models;Power engineering;Power system stability;Regulation;Generators;Power industry","electric generators;excited states;oscillations;power system control;power system stability;thermal power stations","thermal power industry;thermal power units;low-frequency oscillation;generator excitation system;PSS parameters;power system stabilizer parameters;deep peak regulation condition;Chinese new energy industry;single-machine model;dual-machine model;RTDS generator model platform","","","","17","IEEE","8 Feb 2022","","","IEEE","IEEE Conferences"
"Experimental and Educational Platform for Operation Tests and Parameterization of Power System Regulators and Stabilizers","D. Magnus; L. Carbonera; L. Pfitscher; D. Bernardon; A. Tavares; C. Scharlau","Universidade Federal de Santa Catarina, Florianopolis, SC, BR; SATC Faculty; Universidade Federal de Santa Catarina, Florianopolis, SC, BR; Federal University of Santa Maria; SATC Faculty; Universidade Federal de Santa Catarina, Florianopolis, SC, BR","IEEE Latin America Transactions","9 Sep 2019","2019","17","01","54","62","This paper presents the development and application of an experimental and educational platform for operation testing of synchronous machines and power system regulators. This platform is composed by an asynchronous motor, which simulates the primary machine, that is coupled to a synchronous generator shaft. The platform also includes a supervisory and control system, which acts on the parameterization of the regulators and drives the primary machine and generator's excitation field. It is possible to carry out operation tests with the generator stator running in open circuit, stand-alone or connected to the grid, and to simulate disturbances in the system to observe the power system behavior and control performance in such cases. The main contribution of this research is a real platform for experimental validation of digital models of automatic voltage regulators, power system stabilizers and governors, consequently optimizing control design and parameterization. Regarding to the teaching in power system control, the differential of this platform is the unified approach of theory understanding with the comprehension of techniques for implementation of control and instrumentation in real systems, thus contributing to the improvement of student learning, professional formation and motivation for practical activities.","1548-0992","","10.1109/TLA.2019.8826695","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8826695","Digital Control;Educational Platform;Power System Stabilizer;Synchronous Machine;Voltage Control","Power system stability;Regulators;Instruments;Light emitting diodes;Voltage control;Adaptation models;IEEE transactions","control system synthesis;machine control;optimal control;power system stability;shafts;stators;synchronous generators;voltage control;voltage regulators","power system control;power system stabilizers;automatic voltage regulators;control performance;power system behavior;supervisory control system;synchronous generator shaft;synchronous machines;power system regulators","","7","","","IEEE","9 Sep 2019","","","IEEE","IEEE Journals"
"Analysis of real time stabilization effect and parameter optimization of fin stabilizer","S. Zhang; L. Liang; J. Wang","Automation of College, Harbin Engineering of Technology, Harbin, Heilongjiang, China; Automation of College, Harbin Engineering of Technology, Harbin, Heilongjiang, China; Automation of College, Harbin Engineering of Technology, Harbin, Heilongjiang, China","2012 IEEE International Conference on Mechatronics and Automation","27 Aug 2012","2012","","","1103","1108","The mathematic model of an actually installed fin stabilizer system is developed and simulation model of the system is built using MATLAB/Simulink. The power spectral analysis is performed and the real time stabilizing effect of the fin stabilizer is obtained by calculating the rolling motion of the ship both in conditions that with and without fin stabilizer running. Then, an optimizing platform is developed using iSIGHT software package and optimized control parameter sets are obtained for different operation conditions. At last, DOE analysis is performed to analyze the influence of each control parameter on the stabilizing effect.","2152-744X","978-1-4673-1278-3","10.1109/ICMA.2012.6283404","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6283404","Fin stabilizer;PSD;iSIGHT;Optimization;DOE","Marine vehicles;Mathematical model;Analytical models;Optimization;Transfer functions;MATLAB;Real time systems","control engineering computing;digital simulation;mathematics computing;motion control;optimisation;ships;software packages;spectral analysis;stability","real time stabilization effect analysis;parameter optimization;fin stabilizer system;MATLAB-Simulink;power spectral analysis;ship rolling motion;iSIGHT software package;DOE analysis","","1","","5","IEEE","27 Aug 2012","","","IEEE","IEEE Conferences"
"Laboratory Method for Evaluating the Pointing Stability of two degrees of freedom gyroscopic stabilizers","M. S. M. Darestani; I. Azad; P. Amiri","Electrical Engineering Department of Islamic Azad University, University of Arak, Arak, Iran; Electrical Engineering Department of Islamic Azad University, University of Arak, Arak, Iran; Associate Professor of Electrical Engineering, Shahid Rajaee Teacher Training University, Tehran, Iran","2020 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM)","5 Aug 2020","2020","","","1256","1261","In this article we propose a new laboratory method for obtaining the pointing stability of a two degrees of freedom gyro stabilized platform by using a three degrees of freedom test platform. Various rated motions were applied through the three degrees of freedom test platform to the gyroscopic stabilizer and the behavior of the stabilizer to these excitations was reproduced on a checker board which placed at a distance of 7 meters from the gyroscopic stabilizer and the laser beam trajectory during the test was filmed by a video camera. Upon completing the test, the films stored in the camera for each applied motion were duly studied using Matlab and image processing algorithms and the beam displacements from the positions marked at the outset of the test were determined. These displacements represent the pointing stability of the tested gyroscopic stabilizer in terms of degrees. Using this technique yielded a pointing stability of 0.035 degrees on the gyroscopic stabilizer in the worst case where an excitation motion with amplitude 0.093 and frequency 5.7 Hertz was applied. The results were in good agreement with those obtained from simulation in the Matlab/Simulink environments.","2159-6255","978-1-7281-6794-7","10.1109/AIM43001.2020.9158788","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9158788","","Laser stability;Stability analysis;Cameras;Vibrations;Laser beams;Target tracking","computerised instrumentation;gyroscopes;image motion analysis;Matlab;stability;video cameras","laboratory method;pointing stability;tested gyroscopic stabilizer;two degrees of freedom gyroscopic stabilizers;two degrees of freedom gyro stabilized platform","","","","9","IEEE","5 Aug 2020","","","IEEE","IEEE Conferences"
